+-------+---------------------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| pid   | name                            | path                               | cmdline                                                                                                                                                                                                                                                                                                                                                                                                                                                |
+-------+---------------------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 1     | systemd                         |                                    | /sbin/init splash                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 10    | kworker/0:0H-events_highpri     |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1010  | wpa_supplicant                  |                                    | /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev                                                                                                                                                                                                                                                                                                                                                                                 |
| 1036  | gdm3                            |                                    | /usr/sbin/gdm3                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 1053  | systemd-oomd                    |                                    | /usr/lib/systemd/systemd-oomd                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 106   | kworker/R-kthrotld              |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1088  | rtkit-daemon                    |                                    | /usr/libexec/rtkit-daemon                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 109   | irq/123-aerdrv                  |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 110   | irq/123-pcie-dpc                |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 111   | kworker/R-acpi_thermal_pm       |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 113   | hwrng                           |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 11394 | gvfsd-network                   | /usr/libexec/gvfsd-network         | /usr/libexec/gvfsd-network --spawner :1.24 /org/gtk/gvfs/exec_spaw/2                                                                                                                                                                                                                                                                                                                                                                                   |
| 11403 | gvfsd-dnssd                     | /usr/libexec/gvfsd-dnssd           | /usr/libexec/gvfsd-dnssd --spawner :1.24 /org/gtk/gvfs/exec_spaw/3                                                                                                                                                                                                                                                                                                                                                                                     |
| 11409 | gvfsd-wsdd                      | /usr/libexec/gvfsd-wsdd            | /usr/libexec/gvfsd-wsdd --spawner :1.24 /org/gtk/gvfs/exec_spaw/4                                                                                                                                                                                                                                                                                                                                                                                      |
| 11414 | python3                         | /usr/bin/python3.13                | python3 /usr/bin/wsdd --no-host --discovery --listen /run/user/1000/gvfsd/wsdd                                                                                                                                                                                                                                                                                                                                                                         |
| 115   | kworker/R-mld                   |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 116   | kworker/R-ipv6_addrconf         |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 117   | kworker/5:1H-i915_cleanup       |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1184  | colord                          |                                    | /usr/libexec/colord                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 12    | kworker/u32:0-flush-8:0         |                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
